episode,timestep,reward
<<<<<<< HEAD
1,224,14.1056
4,672,14.763
5,896,12.0888
=======
1,1032,0.4153
3,2064,0.4051
5,3096,0.4339
7,4128,0.4622
9,5160,0.5748
12,7224,0.459
14,8256,0.5724
16,9288,0.4935
18,10320,0.4851
20,11352,0.4036
21,12384,0.5444
23,13416,0.6637
25,14448,0.5523
27,15480,0.4771
29,16512,0.3806
32,18576,0.4783
34,19608,0.511
36,20640,0.5587
38,21672,0.5754
40,22704,0.6086
43,24768,0.5179
45,25800,0.5456
47,26832,0.5273
49,27864,0.3369
51,28896,0.4427
52,29928,0.5931
54,30960,0.4636
56,31992,0.5055
58,33024,0.5442
60,34056,0.4788
63,36120,0.5099
65,37152,0.5203
67,38184,0.5582
69,39216,0.377
71,40248,0.4351
74,42312,0.4524
76,43344,0.475
78,44376,0.5811
80,45408,0.4958
82,46440,0.5144
83,47472,0.4267
85,48504,0.4735
87,49536,0.5271
89,50568,0.6589
91,51600,0.5621
94,53664,0.571
96,54696,0.4239
98,55728,0.4633
100,56760,0.4125
102,57792,0.5105
105,59856,0.4566
107,60888,0.4618
109,61920,0.5358
111,62952,0.4868
113,63984,0.5874
114,65016,0.5521
116,66048,0.6288
118,67080,0.4918
120,68112,0.5848
122,69144,0.5103
125,71208,0.5037
127,72240,0.4884
129,73272,0.4587
131,74304,0.4839
133,75336,0.4719
136,77400,0.442
138,78432,0.5803
140,79464,0.5253
142,80496,0.4825
144,81528,0.4693
145,82560,0.5609
147,83592,0.5372
149,84624,0.5161
151,85656,0.5434
153,86688,0.5068
156,88752,0.5148
158,89784,0.4933
160,90816,0.3562
162,91848,0.5899
164,92880,0.5355
167,94944,0.4908
169,95976,0.4809
171,97008,0.5172
173,98040,0.4815
175,99072,0.5525
176,100104,0.4311
178,101136,0.5901
180,102168,0.6022
182,103200,0.4643
184,104232,0.5015
187,106296,0.5482
189,107328,0.5918
191,108360,0.3704
193,109392,0.5895
195,110424,0.4676
198,112488,0.4684
200,113520,0.5286
202,114552,0.5336
